avaliacao,ex1,ex2,ex3,ex4,ex5,ex6,ex7,ex8,ex9,ex10
0,32894,31995,33174,33750,34728,33288,33052,35829,34105,34667
1,32894,32707,35730,34144,34728,33288,33480,35829,34105,34826
2,33496,34205,35730,34592,35677,33859,33480,35829,34105,34826
3,33496,34205,35730,34592,35677,33859,34257,35829,34105,34826
4,33496,34205,35730,34592,35677,34547,34257,35829,34109,34826
5,33496,34205,35730,34592,35677,34547,34257,35829,34507,34826
6,33496,34813,35730,34592,35677,34547,34257,35829,34507,34826
7,33496,34813,35730,34592,35677,34547,34257,35829,34507,34826
8,33496,34813,35730,34592,35677,34547,34257,35829,34507,34826
9,33496,34813,35730,34592,35677,34547,34257,35829,34507,34826
10,34114,35027,35730,34592,35677,34547,34299,35829,34507,34826
11,34114,35027,35730,34816,35677,34547,34299,35829,34507,34826
12,34114,35027,35730,34816,35677,34547,34299,35829,34507,35067
13,34114,35050,35730,34816,35677,34547,34299,35829,34507,35067
14,34397,35050,35730,34816,35677,34547,34299,35829,34507,35067
15,35545,35062,35730,34816,35677,34547,34299,35829,34507,35067
16,35545,35062,35730,34816,35677,34547,34299,35829,34547,35067
17,35545,35062,35730,34816,35677,34547,34299,35829,34547,35067
18,35545,35062,35730,34816,35677,34547,34299,35829,34547,35067
19,35545,35062,35730,34816,35677,34547,36342,35829,34547,35067
20,35545,35533,35730,34816,35677,34547,36342,35829,34547,35067
21,35545,35533,35730,34816,35677,34547,36342,35829,34547,35067
22,35545,35533,35730,34816,35677,34547,36342,35829,34547,35067
23,35545,35533,35730,34816,35677,34547,36342,35829,34547,35067
24,35545,35533,35730,34816,35677,34547,36342,35829,34547,35067
25,35545,35533,35730,34816,35677,34547,36342,35829,34547,35067
26,35545,35533,35730,34816,35677,34547,36590,35829,34547,35067
27,35545,35533,35730,34816,35677,34547,36590,35829,34547,35067
28,35545,35533,35730,34816,35677,34547,36590,35829,34547,35067
29,35545,35533,35730,34816,35677,34547,36590,35829,34547,35067
30,35545,35533,35730,34816,35677,34847,36590,35829,34547,35067
31,35545,35533,35730,34816,35677,34847,36590,35829,34547,35067
32,35545,35533,35730,34816,35677,34847,36590,35829,34547,35067
33,35545,35533,35730,34816,35677,34847,36590,35829,34547,35067
34,35545,35533,35730,34816,35677,34847,36590,35829,34547,35067
35,35545,35533,35730,34816,35677,34847,36590,35829,34547,35067
36,35545,35533,35730,34816,35677,34847,36590,35829,34547,35067
37,35545,35533,35730,34816,35677,34847,36590,35829,34547,35067
38,35805,35533,35730,34816,35677,34847,36590,35829,34547,35067
39,35805,35533,35730,34816,35677,34847,36590,35829,34547,35067
40,35805,35533,35730,34816,35677,34847,36590,35829,34547,35067
41,35805,35533,35730,34816,35677,34847,36590,35829,34547,35067
42,35805,35533,35730,34816,35677,34847,36590,35829,34547,35067
43,35805,35533,35730,34816,35677,34847,36590,35829,34547,35067
44,35805,35533,35730,35000,35677,34847,36590,35829,34547,35067
45,35805,35533,35730,35000,35677,34847,36590,35829,34547,35067
46,35805,35533,35730,35000,35677,34847,36590,35829,34547,35067
47,35805,35533,35730,35000,35677,34847,36590,35829,34547,35067
48,35805,35533,35730,35000,35677,34847,36590,35829,34547,35067
49,35805,35533,35730,35000,35677,34847,36590,35829,34547,35067
50,35805,35533,35730,35000,35677,34847,36590,35829,34547,35067
51,35805,35533,35730,35000,35677,34847,36590,35829,34547,35067
52,35805,35533,35730,35000,35677,34847,36590,35829,34547,35067
53,35805,35533,35730,35000,35677,34847,36590,35829,34547,35067
54,35805,37477,35730,35000,35677,34847,36590,35829,34547,35067
55,35805,37477,35730,35000,35677,34847,36590,35829,34660,35067
56,35805,37477,35730,35000,35677,34847,36590,35829,34660,35067
57,35805,37477,35730,35000,35677,34847,36590,35829,34660,35067
58,35805,37477,35730,35000,35677,34847,36590,35829,34660,35067
59,35805,37477,35730,35000,35677,34847,36590,35829,34660,35067
60,35805,37477,35730,35000,35677,34847,36590,35829,34660,35067
61,35805,37477,35730,35000,35677,34847,36590,35829,34660,35067
62,35805,37477,35730,35000,35677,34847,36590,35829,34798,35067
63,35805,37477,35730,35000,35677,34847,36590,35829,35480,35067
64,35805,37477,35730,35000,35677,34847,36590,35829,35480,35067
65,35805,37477,35730,35000,35677,34847,36590,35829,35480,35067
66,35805,37477,35730,35347,35677,35055,36590,35829,35480,35067
67,35805,37477,35730,35347,35677,35055,36590,35829,35480,35067
68,35805,37477,35730,35347,35677,35055,36590,35829,35480,35067
69,35805,37477,35730,35347,35677,35055,36590,35829,35480,35067
70,35805,37477,35730,35347,35677,35055,36590,35829,35480,35067
71,35805,37477,35730,35347,35677,35055,36590,35829,35480,35067
72,35805,37477,35730,35347,35677,35055,36590,35829,35480,35067
73,35805,37477,35730,35347,35677,35711,36590,35829,35480,35067
74,35805,37477,35730,35617,35677,35711,36590,35829,35480,35067
75,35805,37477,35730,35617,35677,35711,36590,35829,35480,35067
76,35805,37477,35730,35617,35677,35711,36590,35829,35480,35067
77,35805,37477,35730,35617,35677,35711,36590,35829,35480,35067
78,35805,37477,35730,35617,35677,35711,36590,35829,35480,35067
79,35805,37477,35730,35617,35677,35711,36590,35829,35480,35067
80,35805,37477,35730,35617,35677,35711,36590,35829,35480,35067
81,35805,37477,35730,35617,35677,35711,36590,35829,35480,35067
82,35805,37477,35730,35617,35677,35711,36590,35829,35480,35067
83,35805,37477,35730,35617,35677,35711,36590,35829,35480,35067
84,35805,37477,35730,35617,35677,35711,36590,35829,35480,35067
85,35805,37477,35730,35617,35677,35711,36590,35829,35480,35067
86,35805,37477,35730,35617,35677,35711,36590,35829,35480,35067
87,35805,37477,35730,35617,35677,35711,36590,35829,35480,35067
88,35805,37477,35730,35617,35677,35711,36590,35829,35480,35067
89,35805,37477,35730,35617,36359,35711,36590,35829,35480,35067
90,35805,37477,35730,35617,36359,35711,36590,35829,35480,35067
91,35805,37477,35730,35617,36359,35711,36590,35829,35480,35067
92,35805,37477,35730,35617,36359,35711,36590,35829,35480,35067
93,35805,37477,35730,35617,36359,35711,36590,35829,35480,35067
94,35805,37477,35730,35617,36359,35711,36590,35829,35480,35067
95,35805,37477,35730,35617,36359,35711,36590,35829,35480,35067
96,35805,37477,35730,35617,36359,35711,36590,35829,35480,35067
97,35805,37477,35730,35617,36359,35711,36590,35829,35480,35067
98,35805,37477,35730,35617,36359,35711,36590,35829,35480,35067
99,35805,37477,35730,35617,36359,35711,36590,35829,35480,35067
100,35805,37477,35730,35617,36359,35711,36590,35829,35480,35067
101,35805,37477,35730,35617,36359,35711,36590,35829,35480,35067
102,35805,37477,35730,35617,36359,35711,36590,35829,35480,35067
103,35805,37477,35730,35617,36359,35711,36590,35829,35480,35067
104,35805,37477,35730,35617,36359,35711,36590,35829,35480,35067
105,35805,37477,35730,35617,36359,35711,36590,35829,35480,35067
106,35805,37477,35730,35617,36359,35711,36590,35829,35480,35067
107,35805,37477,35730,35617,36359,35711,36590,35829,35480,35067
108,35805,37477,35730,35617,36359,35711,36590,35829,35480,35067
109,35805,37477,35730,35617,36359,35711,36590,35829,35480,35067
110,35805,37477,35730,35617,36359,35711,36590,35829,35480,35067
111,35805,37477,35730,35617,36359,35711,36590,35829,35480,35067
112,35805,37477,35730,35617,36359,35711,36590,35829,35480,35067
113,35805,37477,35730,35617,36359,35711,36590,35829,35480,35067
114,35805,37477,35730,35617,36359,35711,36590,35829,35480,35067
115,35805,37477,35730,35617,36359,35711,36590,35829,35480,35067
116,35805,37477,35730,35617,36359,35711,36590,35829,35480,35067
117,35805,37477,35730,35617,36359,35711,36590,35829,35480,35067
118,35805,37477,35730,35617,36359,35711,36590,35829,35480,35067
119,35805,37477,35730,35617,36359,35711,36590,35829,35480,35067
120,35805,37477,35730,35617,36359,35711,36590,35829,35480,35067
