avalicao,ex1,ex2,ex3,ex4,ex5,ex6,ex7,ex8,ex9,ex10
98,36019,35268,36906,36084,36426,35266,36584,35666,35639,35987
99,36019,35268,36906,36084,36426,35266,36584,35666,35639,35987
100,36019,35268,36906,36084,36426,35266,36584,35666,35639,35987
101,36019,35268,36906,36084,36426,35266,36584,35666,35639,35987
102,36019,35268,36906,36084,36426,35266,36584,35666,35639,35987
103,36019,35268,36906,36084,36426,35300,36584,35666,35639,35987
104,36019,35268,36906,36084,36426,35300,36584,36269,35639,35987
105,36019,35268,36906,36084,36426,35300,36584,36269,35639,35987
106,36019,35268,36906,36084,36426,35643,36584,36269,35639,35987
107,36019,35268,36906,36084,36426,35643,36584,36269,35639,35987
108,36019,35268,36906,36084,36426,35643,36584,36269,36830,35987
109,36019,35268,36906,36084,36426,35643,36584,36269,36830,35987
110,36433,35268,36906,36084,36426,35643,36584,36269,36830,35987
111,36433,36154,36906,36084,36426,35643,36584,36269,36830,35987
112,36433,36154,36906,36084,36426,35643,36584,36269,36830,35987
113,36433,36154,36906,36084,36426,35643,36584,36269,36830,35987
114,36433,36154,36906,36084,36426,35643,36584,36269,36830,35987
115,36433,36154,36906,36084,36426,35643,36584,36269,36830,35987
116,36433,36154,36906,36084,36426,35643,36584,36269,36830,35987
117,36433,36154,36906,36084,36426,35643,36584,36269,36830,35987
118,36433,36154,36906,36084,36426,35643,36584,36269,36830,35987
119,36433,36154,36906,36084,36426,35643,36584,36269,36830,35987
120,36433,36154,36906,36084,36426,35643,36584,36269,36830,35987
121,36433,36154,36906,36084,36426,35643,36584,36269,36830,35987
122,36433,36154,36906,36084,36426,35643,36584,36269,36830,35987
123,36433,36154,36906,36084,36426,35643,36584,36269,36830,35987
124,36433,36154,36906,36084,36426,35643,36584,36269,36830,35987
125,36433,36154,36906,36084,36426,35643,36584,36269,36830,35987
126,36433,36154,36906,36084,36426,35697,36584,36269,36830,35987
127,36433,36154,36906,36084,36426,35697,36584,36269,36830,35987
128,36433,36154,36906,36084,36426,35697,36584,36269,36830,35987
129,36433,36154,36906,36084,36426,35697,36584,36269,36830,35987
130,36433,36154,36906,36084,36426,35697,36584,36269,36830,35987
131,36433,36154,36906,36084,36426,35697,36584,36269,36830,35987
132,36433,36154,36906,36084,36426,35697,36584,36269,36830,35987
133,36433,36154,36906,36084,36426,35697,36584,36269,36830,35987
134,36433,36154,36906,36084,36426,35697,36584,36269,36830,35987
135,36433,36154,36906,36084,36426,35697,36584,36269,36830,35987
136,36433,36154,36906,36084,36426,35697,36584,36269,36830,35987
137,36433,36154,36906,36084,36426,35697,36584,36269,36830,35987
138,36433,36154,36906,36084,36426,35697,36584,36269,36830,35987
139,36433,36154,36906,36084,36426,35697,36584,36269,36830,35987
140,36433,36154,36906,36084,36426,35697,36584,36269,36830,35987
141,36433,36154,36906,36084,36426,36595,36584,36269,36830,35987
142,36433,36154,36906,36084,36426,36595,36584,36269,36830,35987
143,36433,36653,36906,36084,36426,36595,36584,36269,36830,35987
144,36433,36653,36906,36084,36426,36595,36584,36269,36830,35987
