geracao;tempo_geracao_s;tempo_callback_s;valor_acumulado_melhor_geracao;peso_acumulado_melhor_geracao;quantidade_itens_melhor_geracao;fitness_medio_populacao;fitness_pior_populacao;melhor_valor_global_ate_agora;peso_melhor_global_ate_agora;quantidade_itens_melhor_global_ate_agora;geracao_melhor_global;houve_melhoria_global
61;0.025549;0.000105;49427;42197;723;48922.65;48029.0;49427;42197;723;61;True
62;0.025583;0.0001;49446;42196;725;48765.53;47767.0;49446;42196;725;62;True
63;0.026399;0.000111;49463;42193;727;48876.84;47448.0;49463;42193;727;63;True
64;0.027953;0.000113;49463;42193;727;48889.59;47896.0;49463;42193;727;63;False
65;0.026604;9.8e-05;49463;42193;727;48862.05;47626.0;49463;42193;727;63;False
66;0.026866;0.000106;49463;42193;727;48981.98;47895.0;49463;42193;727;63;False
67;0.025656;0.00011;49463;42193;727;48799.71;47959.0;49463;42193;727;63;False
68;0.025973;0.000106;49463;42193;727;48776.63;47683.0;49463;42193;727;63;False
69;0.02708;0.000129;49463;42193;727;48797.38;47490.0;49463;42193;727;63;False
70;0.028417;0.000108;49463;42193;727;48869.18;47827.0;49463;42193;727;63;False
71;0.027321;0.000103;49478;42198;728;48942.6;47908.0;49478;42198;728;71;True
72;0.026914;0.000201;49478;42198;728;48865.59;47660.0;49478;42198;728;71;False
73;0.027408;0.00011;49478;42198;728;48750.62;47606.0;49478;42198;728;71;False
74;0.030284;0.000112;49478;42198;728;48732.61;47841.0;49478;42198;728;71;False
75;0.027911;0.000104;49478;42198;728;48615.75;47642.0;49478;42198;728;71;False
76;0.027442;9.9e-05;49478;42198;728;48818.34;47571.0;49478;42198;728;71;False
77;0.025852;9.8e-05;49478;42198;728;48916.22;47806.0;49478;42198;728;71;False
78;0.024806;9.8e-05;49519;42189;733;48878.04;47838.0;49519;42189;733;78;True
79;0.024707;9.6e-05;49519;42189;733;48775.46;47741.0;49519;42189;733;78;False
80;0.025135;0.0001;49519;42189;733;48772.98;47757.0;49519;42189;733;78;False
81;0.024983;9.6e-05;49519;42189;733;48796.05;47716.0;49519;42189;733;78;False
82;0.026612;0.000105;49519;42189;733;48732.81;47233.0;49519;42189;733;78;False
83;0.026294;0.000172;49519;42189;733;48972.18;47787.0;49519;42189;733;78;False
84;0.027226;0.000104;49519;42189;733;48869.55;47597.0;49519;42189;733;78;False
85;0.026633;0.000111;49522;42182;734;48920.87;47257.0;49522;42182;734;85;True
86;0.02772;0.000116;49577;42177;740;49010.71;47833.0;49577;42177;740;86;True
87;0.02921;0.000114;49577;42177;740;49067.0;48021.0;49577;42177;740;86;False
88;0.02991;0.000117;49577;42177;740;49201.27;48201.0;49577;42177;740;86;False
89;0.032418;0.000158;49577;42177;740;49194.63;48274.0;49577;42177;740;86;False
90;0.028215;0.000107;49577;42177;740;49130.59;48032.0;49577;42177;740;86;False
91;0.028423;0.000115;49580;42200;738;49164.42;48212.0;49580;42200;738;91;True
92;0.030717;0.00011;49580;42200;738;49191.84;47975.0;49580;42200;738;91;False
93;0.027158;0.0001;49580;42200;738;49123.72;48168.0;49580;42200;738;91;False
94;0.025525;0.000114;49580;42200;738;48964.98;47970.0;49580;42200;738;91;False
95;0.024656;0.000107;49580;42200;738;48846.81;47733.0;49580;42200;738;91;False
96;0.025121;0.000103;49580;42200;738;48791.02;47657.0;49580;42200;738;91;False
97;0.024994;0.00012;49580;42200;738;48816.55;47745.0;49580;42200;738;91;False
98;0.024934;0.000117;49580;42200;738;48753.94;47723.0;49580;42200;738;91;False
99;0.02547;0.000106;49580;42200;738;48724.67;47924.0;49580;42200;738;91;False
100;0.026016;0.001155;49580;42200;738;48627.11;47252.0;49580;42200;738;91;False
101;0.026564;0.000111;49598;42188;741;48803.13;47447.0;49598;42188;741;101;True
102;0.026497;0.000138;49598;42188;741;48888.48;47316.0;49598;42188;741;101;False
103;0.028959;0.000184;49598;42188;741;49090.2;47909.0;49598;42188;741;101;False
104;0.031882;0.000114;49598;42188;741;49103.31;48071.0;49598;42188;741;101;False
105;0.028064;0.000107;49598;42188;741;49115.33;48296.0;49598;42188;741;101;False
106;0.029472;0.000116;49598;42188;741;49067.72;47920.0;49598;42188;741;101;False
107;0.027067;0.000116;49598;42188;741;49089.85;47996.0;49598;42188;741;101;False
108;0.026987;7e-05;49613;42203;741;49119.39;47404.0;49613;42203;741;108;True
109;0.028018;7.2e-05;49613;42203;741;49094.45;48055.0;49613;42203;741;108;False
110;0.030476;0.000126;49625;42195;743;49102.21;47970.0;49625;42195;743;110;True
111;0.029924;0.000124;49625;42195;743;48993.77;48091.0;49625;42195;743;110;False
112;0.030571;0.000116;49625;42195;743;48867.17;47736.0;49625;42195;743;110;False
113;0.029508;0.000115;49625;42195;743;48963.33;47411.0;49625;42195;743;110;False
114;0.029457;0.000117;49625;42195;743;48969.77;47869.0;49625;42195;743;110;False
115;0.027951;0.000111;49625;42195;743;48957.09;47498.0;49625;42195;743;110;False
116;0.027738;0.000112;49625;42195;743;48931.43;48002.0;49625;42195;743;110;False
117;0.029251;0.000132;49625;42195;743;48909.96;47767.0;49625;42195;743;110;False
118;0.029848;0.000105;49625;42195;743;48873.03;47716.0;49625;42195;743;110;False
119;0.027509;0.000101;49625;42195;743;49180.87;48048.0;49625;42195;743;110;False
120;0.028286;0.000102;49625;42195;743;49166.18;48091.0;49625;42195;743;110;False
121;0.026592;0.000104;49625;42195;743;49033.03;47952.0;49625;42195;743;110;False
122;0.027845;0.000102;49625;42195;743;48940.17;48025.0;49625;42195;743;110;False
123;0.027276;0.000128;49625;42195;743;48944.1;47953.0;49625;42195;743;110;False
124;0.027044;0.000109;49625;42195;743;48938.42;47899.0;49625;42195;743;110;False
125;0.028358;0.000126;49625;42195;743;48906.65;47808.0;49625;42195;743;110;False
126;0.029844;0.000128;49625;42195;743;48945.8;47750.0;49625;42195;743;110;False
127;0.03443;0.000123;49625;42195;743;49078.82;48059.0;49625;42195;743;110;False
128;0.029982;0.000109;49625;42195;743;48941.2;47681.0;49625;42195;743;110;False
129;0.027951;0.000104;49625;42195;743;49011.68;47697.0;49625;42195;743;110;False
130;0.025992;0.000105;49625;42195;743;49050.53;47840.0;49625;42195;743;110;False
131;0.02656;0.000175;49625;42195;743;49115.6;48020.0;49625;42195;743;110;False
132;0.026028;0.000103;49652;42182;747;48997.61;47696.0;49652;42182;747;132;True
133;0.026869;0.000112;49653;42183;747;49143.07;47881.0;49653;42183;747;133;True
134;0.027833;0.00011;49653;42183;747;48978.32;47794.0;49653;42183;747;133;False
135;0.028069;0.000112;49653;42183;747;48963.06;47206.0;49653;42183;747;133;False
136;0.029461;0.000109;49653;42183;747;49039.19;48159.0;49653;42183;747;133;False
137;0.02914;0.000117;49653;42183;747;49069.26;47817.0;49653;42183;747;133;False
138;0.027682;0.000109;49653;42183;747;49001.56;47886.0;49653;42183;747;133;False
139;0.029336;0.000116;49653;42183;747;49008.05;48194.0;49653;42183;747;133;False
140;0.031594;0.000139;49653;42183;747;49039.38;47739.0;49653;42183;747;133;False
141;0.031626;0.000116;49653;42183;747;48960.12;47773.0;49653;42183;747;133;False
142;0.029001;0.000117;49653;42183;747;48910.77;47729.0;49653;42183;747;133;False
143;0.033156;0.000217;49653;42183;747;48979.31;47945.0;49653;42183;747;133;False
144;0.030619;0.000114;49653;42183;747;49015.53;47199.0;49653;42183;747;133;False
145;0.037693;0.000141;49653;42183;747;49032.31;48150.0;49653;42183;747;133;False
146;0.03398;0.000171;49653;42183;747;49035.73;47800.0;49653;42183;747;133;False
147;0.036446;0.000154;49653;42183;747;48985.84;48167.0;49653;42183;747;133;False
148;0.035905;0.000129;49653;42183;747;48907.43;48059.0;49653;42183;747;133;False
149;0.033438;0.000144;49653;42183;747;48998.14;47812.0;49653;42183;747;133;False
150;0.034745;0.000129;49653;42183;747;48984.51;47818.0;49653;42183;747;133;False
151;0.035899;0.000153;49653;42183;747;48956.02;47844.0;49653;42183;747;133;False
152;0.054907;0.000273;49653;42203;745;48930.1;48012.0;49653;42183;747;133;False
