geracao;tempo_geracao_s;tempo_callback_s;valor_acumulado_melhor_geracao;peso_acumulado_melhor_geracao;quantidade_itens_melhor_geracao;fitness_medio_populacao;fitness_pior_populacao;melhor_valor_global_ate_agora;peso_melhor_global_ate_agora;quantidade_itens_melhor_global_ate_agora;geracao_melhor_global;houve_melhoria_global
311;0.024864;9.8e-05;49687;42187;750;48836.37;47652.0;49687;42187;750;266;False
312;0.025346;9.9e-05;49687;42187;750;48983.93;47740.0;49687;42187;750;266;False
313;0.025216;9.9e-05;49687;42187;750;48966.75;47873.0;49687;42187;750;266;False
314;0.026036;0.000111;49688;42188;750;49066.59;47876.0;49688;42188;750;314;True
315;0.025438;9.9e-05;49688;42188;750;49016.86;48089.0;49688;42188;750;314;False
316;0.025583;0.000111;49688;42188;750;49096.59;47770.0;49688;42188;750;314;False
317;0.025188;9.4e-05;49688;42188;750;49057.64;47916.0;49688;42188;750;314;False
318;0.024572;9.7e-05;49688;42188;750;49121.77;47072.0;49688;42188;750;314;False
319;0.024732;0.000139;49688;42188;750;49139.63;48201.0;49688;42188;750;314;False
320;0.024895;9.7e-05;49688;42188;750;49174.04;48153.0;49688;42188;750;314;False
321;0.027375;0.000105;49706;42196;751;49113.16;48019.0;49706;42196;751;321;True
322;0.025698;0.000105;49706;42196;751;49074.56;47421.0;49706;42196;751;321;False
323;0.026192;0.0001;49706;42196;751;49054.52;48016.0;49706;42196;751;321;False
324;0.025966;0.0001;49706;42196;751;49074.52;48044.0;49706;42196;751;321;False
325;0.026923;0.000131;49706;42196;751;49068.95;47950.0;49706;42196;751;321;False
326;0.025715;0.000105;49706;42196;751;49067.42;48059.0;49706;42196;751;321;False
327;0.026134;0.000105;49706;42196;751;49045.27;47924.0;49706;42196;751;321;False
328;0.026221;0.000101;49706;42196;751;49075.87;48206.0;49706;42196;751;321;False
329;0.026912;0.000114;49706;42196;751;49053.5;47985.0;49706;42196;751;321;False
330;0.027326;0.000196;49706;42196;751;49117.34;47549.0;49706;42196;751;321;False
331;0.029456;0.000114;49706;42196;751;49074.89;48095.0;49706;42196;751;321;False
332;0.028709;0.000114;49706;42196;751;48994.27;47681.0;49706;42196;751;321;False
333;0.040877;0.000112;49706;42196;751;49089.15;47858.0;49706;42196;751;321;False
334;0.032243;0.000141;49706;42196;751;49156.23;47943.0;49706;42196;751;321;False
335;0.046578;0.000191;49706;42196;751;49150.97;47606.0;49706;42196;751;321;False
336;0.041893;0.000242;49706;42196;751;48961.5;47778.0;49706;42196;751;321;False
337;0.03631;0.000133;49706;42196;751;49001.39;47941.0;49706;42196;751;321;False
338;0.030153;0.000128;49706;42196;751;49057.15;47633.0;49706;42196;751;321;False
339;0.031088;0.000242;49706;42196;751;49036.14;47854.0;49706;42196;751;321;False
340;0.029016;0.000116;49706;42196;751;49038.11;47780.0;49706;42196;751;321;False
341;0.031443;0.000141;49706;42196;751;49048.1;47953.0;49706;42196;751;321;False
342;0.03704;0.000155;49706;42196;751;48965.55;47897.0;49706;42196;751;321;False
343;0.037993;0.000157;49706;42196;751;49023.92;48103.0;49706;42196;751;321;False
344;0.032866;0.000117;49706;42196;751;49038.97;48190.0;49706;42196;751;321;False
345;0.030871;0.000214;49706;42196;751;49004.64;47508.0;49706;42196;751;321;False
346;0.029143;0.000114;49706;42196;751;49050.57;47927.0;49706;42196;751;321;False
347;0.030515;0.000119;49706;42196;751;49070.79;47837.0;49706;42196;751;321;False
348;0.034479;0.000111;49706;42196;751;49195.79;48084.0;49706;42196;751;321;False
349;0.035077;0.000112;49706;42196;751;49041.46;48021.0;49706;42196;751;321;False
350;0.030137;0.000137;49706;42196;751;49008.8;48003.0;49706;42196;751;321;False
351;0.036682;0.000139;49706;42196;751;49017.29;47920.0;49706;42196;751;321;False
352;0.037514;0.000136;49706;42196;751;49082.03;48368.0;49706;42196;751;321;False
353;0.034471;0.000126;49706;42196;751;48963.74;47730.0;49706;42196;751;321;False
354;0.03728;0.00012;49706;42196;751;48979.63;47861.0;49706;42196;751;321;False
355;0.028065;0.000129;49706;42196;751;48999.69;47860.0;49706;42196;751;321;False
356;0.027153;0.00011;49706;42196;751;48913.76;48015.0;49706;42196;751;321;False
357;0.028694;0.000125;49706;42196;751;48917.14;47757.0;49706;42196;751;321;False
358;0.029279;0.000113;49706;42196;751;49068.94;48171.0;49706;42196;751;321;False
359;0.02909;0.000117;49706;42196;751;49117.23;47975.0;49706;42196;751;321;False
360;0.027375;0.000108;49706;42196;751;49078.6;48075.0;49706;42196;751;321;False
361;0.028095;0.000109;49706;42196;751;49117.18;48072.0;49706;42196;751;321;False
362;0.02606;0.000125;49706;42196;751;49031.43;48051.0;49706;42196;751;321;False
363;0.025576;0.000107;49706;42196;751;48920.74;48045.0;49706;42196;751;321;False
364;0.034664;0.000205;49706;42196;751;48833.71;47785.0;49706;42196;751;321;False
365;0.029942;0.000128;49706;42196;751;48764.69;47548.0;49706;42196;751;321;False
366;0.028039;0.000128;49706;42196;751;48792.7;47708.0;49706;42196;751;321;False
367;0.032936;0.000203;49706;42196;751;48831.6;47829.0;49706;42196;751;321;False
368;0.028924;0.000174;49706;42196;751;48708.03;47741.0;49706;42196;751;321;False
369;0.030052;0.000116;49706;42196;751;48615.53;47372.0;49706;42196;751;321;False
370;0.029315;0.000121;49706;42196;751;48721.16;47485.0;49706;42196;751;321;False
371;0.029489;0.000199;49706;42196;751;48828.36;47651.0;49706;42196;751;321;False
372;0.030529;0.000127;49706;42196;751;48952.9;47966.0;49706;42196;751;321;False
373;0.027678;0.000112;49706;42196;751;49132.3;48282.0;49706;42196;751;321;False
374;0.028809;0.00013;49706;42196;751;49063.83;47499.0;49706;42196;751;321;False
375;0.029509;0.000113;49706;42196;751;49073.51;48096.0;49706;42196;751;321;False
376;0.029511;0.00022;49706;42196;751;49041.79;47813.0;49706;42196;751;321;False
377;0.028992;0.000109;49706;42196;751;48931.23;47902.0;49706;42196;751;321;False
378;0.027977;0.000117;49706;42196;751;48964.12;47943.0;49706;42196;751;321;False
379;0.031567;0.000118;49706;42196;751;48814.71;48210.0;49706;42196;751;321;False
380;0.027246;0.000134;49706;42196;751;48721.34;47606.0;49706;42196;751;321;False
381;0.027248;0.00013;49706;42196;751;48642.2;47542.0;49706;42196;751;321;False
382;0.031772;0.00012;49706;42196;751;48645.06;47402.0;49706;42196;751;321;False
383;0.028866;0.000128;49706;42196;751;48659.01;47594.0;49706;42196;751;321;False
384;0.026551;0.000109;49706;42196;751;48730.42;46880.0;49706;42196;751;321;False
385;0.02694;0.000117;49706;42196;751;48768.48;47522.0;49706;42196;751;321;False
386;0.026328;0.000129;49706;42196;751;48793.81;47733.0;49706;42196;751;321;False
387;0.026232;0.00011;49706;42196;751;48733.25;47406.0;49706;42196;751;321;False
388;0.028997;0.000121;49706;42196;751;48677.48;47619.0;49706;42196;751;321;False
389;0.026719;0.000246;49706;42196;751;48709.26;47810.0;49706;42196;751;321;False
390;0.029634;0.000125;49706;42196;751;48680.14;47522.0;49706;42196;751;321;False
391;0.02653;0.000131;49706;42196;751;48645.45;47391.0;49706;42196;751;321;False
392;0.025672;0.000121;49706;42196;751;48567.98;47364.0;49706;42196;751;321;False
393;0.027161;0.000113;49706;42196;751;48644.72;47302.0;49706;42196;751;321;False
394;0.026315;0.000105;49706;42196;751;48662.72;47280.0;49706;42196;751;321;False
395;0.024773;0.0001;49706;42196;751;48844.93;47697.0;49706;42196;751;321;False
396;0.025139;0.000111;49706;42196;751;48824.29;47965.0;49706;42196;751;321;False
397;0.024397;0.000101;49706;42196;751;48849.64;47744.0;49706;42196;751;321;False
398;0.024355;0.0001;49706;42196;751;48850.94;47890.0;49706;42196;751;321;False
399;0.024435;0.000106;49706;42196;751;48785.03;47777.0;49706;42196;751;321;False
400;0.024954;0.000709;49706;42196;751;48702.44;47540.0;49706;42196;751;321;False
401;0.025202;0.000106;49706;42196;751;48670.84;47517.0;49706;42196;751;321;False
402;0.025412;0.000116;49706;42196;751;48636.66;47553.0;49706;42196;751;321;False
403;0.025959;0.000124;49706;42196;751;48821.02;47566.0;49706;42196;751;321;False
404;0.026409;0.000133;49706;42196;751;48716.46;47618.0;49706;42196;751;321;False
405;0.028036;0.000134;49706;42196;751;48748.07;47511.0;49706;42196;751;321;False
406;0.027328;0.000131;49706;42196;751;48768.87;47718.0;49706;42196;751;321;False
407;0.026685;0.000118;49706;42196;751;48934.78;47729.0;49706;42196;751;321;False
408;0.028384;0.000192;49706;42196;751;49027.42;47916.0;49706;42196;751;321;False
409;0.028336;0.000114;49706;42196;751;49014.52;48212.0;49706;42196;751;321;False
410;0.028641;0.000111;49706;42196;751;48983.29;47739.0;49706;42196;751;321;False
411;0.026641;0.000106;49706;42196;751;49078.71;47708.0;49706;42196;751;321;False
412;0.025851;0.000103;49706;42196;751;49131.27;48217.0;49706;42196;751;321;False
413;0.026599;0.000112;49706;42196;751;49065.24;48213.0;49706;42196;751;321;False
414;0.025454;0.00011;49706;42196;751;49036.62;48221.0;49706;42196;751;321;False
415;0.025689;0.000106;49706;42196;751;48871.24;47714.0;49706;42196;751;321;False
416;0.027118;0.000104;49706;42196;751;49097.2;47863.0;49706;42196;751;321;False
417;0.02577;0.000104;49706;42196;751;49022.67;48163.0;49706;42196;751;321;False
418;0.027424;0.000108;49706;42196;751;49085.46;47873.0;49706;42196;751;321;False
419;0.025743;6.7e-05;49717;42197;752;49059.24;48075.0;49717;42197;752;419;True
420;0.027314;6.6e-05;49717;42197;752;49027.85;47779.0;49717;42197;752;419;False
421;0.028497;0.000132;49733;42203;753;49027.68;48091.0;49733;42203;753;421;True
422;0.026417;0.000104;49733;42203;753;49070.2;47759.0;49733;42203;753;421;False
423;0.028583;0.000104;49733;42203;753;49094.03;47927.0;49733;42203;753;421;False
424;0.02589;9.7e-05;49733;42203;753;49176.61;47694.0;49733;42203;753;421;False
425;0.026509;0.000112;49733;42203;753;49146.01;47881.0;49733;42203;753;421;False
426;0.026334;0.000105;49733;42203;753;49100.76;47762.0;49733;42203;753;421;False
427;0.027582;0.000103;49733;42203;753;49226.89;47940.0;49733;42203;753;421;False
428;0.026808;0.000102;49733;42203;753;49141.93;48243.0;49733;42203;753;421;False
429;0.026235;0.000174;49733;42203;753;49124.14;47760.0;49733;42203;753;421;False
430;0.026189;0.000208;49733;42203;753;49062.12;47750.0;49733;42203;753;421;False
431;0.030244;0.000103;49733;42203;753;49086.04;48195.0;49733;42203;753;421;False
432;0.025615;9.9e-05;49733;42203;753;49073.74;47622.0;49733;42203;753;421;False
433;0.026491;0.000149;49733;42203;753;49105.24;47645.0;49733;42203;753;421;False
434;0.02687;0.000104;49733;42203;753;49141.94;47652.0;49733;42203;753;421;False
435;0.025886;9.9e-05;49733;42203;753;49104.61;48047.0;49733;42203;753;421;False
436;0.025478;0.000108;49733;42203;753;49057.21;48062.0;49733;42203;753;421;False
437;0.026034;0.000102;49733;42203;753;49071.5;47825.0;49733;42203;753;421;False
438;0.02646;0.000102;49733;42203;753;49153.05;47927.0;49733;42203;753;421;False
439;0.025569;0.000107;49733;42203;753;49075.18;48352.0;49733;42203;753;421;False
440;0.02699;0.000104;49733;42203;753;48975.41;47966.0;49733;42203;753;421;False
441;0.026916;0.000107;49733;42203;753;49044.13;46614.0;49733;42203;753;421;False
442;0.026349;0.000109;49733;42203;753;49078.87;48258.0;49733;42203;753;421;False
443;0.025775;0.000105;49733;42203;753;48987.11;47565.0;49733;42203;753;421;False
444;0.02629;0.00011;49733;42203;753;48883.43;47814.0;49733;42203;753;421;False
445;0.026159;0.00011;49733;42203;753;48977.84;47689.0;49733;42203;753;421;False
446;0.025802;0.000126;49733;42203;753;48985.32;48250.0;49733;42203;753;421;False
447;0.025822;0.000104;49733;42203;753;48984.2;47672.0;49733;42203;753;421;False
448;0.027201;0.00011;49733;42203;753;49182.91;48140.0;49733;42203;753;421;False
449;0.028833;0.000109;49733;42203;753;49290.41;48435.0;49733;42203;753;421;False
450;0.026811;0.0001;49733;42203;753;49118.44;48177.0;49733;42203;753;421;False
451;0.033482;0.000129;49733;42203;753;49088.09;47983.0;49733;42203;753;421;False
452;0.028304;0.00011;49733;42203;753;49131.71;47923.0;49733;42203;753;421;False
453;0.028206;0.000118;49733;42203;753;49151.5;48125.0;49733;42203;753;421;False
454;0.029319;0.000175;49733;42203;753;49224.92;48209.0;49733;42203;753;421;False
455;0.033392;0.000135;49733;42203;753;49239.96;47911.0;49733;42203;753;421;False
456;0.036825;0.000151;49733;42203;753;49149.53;47586.0;49733;42203;753;421;False
457;0.03646;0.00012;49733;42203;753;49315.7;48204.0;49733;42203;753;421;False
458;0.029631;0.000147;49733;42203;753;49224.42;48312.0;49733;42203;753;421;False
459;0.04062;0.000117;49748;42178;757;49294.01;48102.0;49748;42178;757;459;True
460;0.032833;7.6e-05;49762;42202;756;49272.52;48047.0;49762;42202;756;460;True
461;0.034052;0.000111;49762;42202;756;49152.83;47837.0;49762;42202;756;460;False
462;0.030474;6.9e-05;49762;42202;756;49126.83;47838.0;49762;42202;756;460;False
463;0.030253;0.000118;49762;42202;756;49263.14;48276.0;49762;42202;756;460;False
464;0.035474;7.1e-05;49762;42202;756;49130.14;47699.0;49762;42202;756;460;False
465;0.038458;7.1e-05;49762;42202;756;49149.32;48234.0;49762;42202;756;460;False
466;0.033241;6.9e-05;49762;42202;756;49132.42;48091.0;49762;42202;756;460;False
467;0.030698;7e-05;49762;42202;756;49182.54;48247.0;49762;42202;756;460;False
468;0.030083;7e-05;49762;42202;756;49183.78;48000.0;49762;42202;756;460;False
469;0.027647;6.8e-05;49762;42202;756;49096.79;48142.0;49762;42202;756;460;False
470;0.028715;6.9e-05;49762;42202;756;49121.52;47929.0;49762;42202;756;460;False
471;0.028812;6.8e-05;49762;42202;756;49192.78;48042.0;49762;42202;756;460;False
472;0.029479;0.000112;49762;42202;756;49176.53;48068.0;49762;42202;756;460;False
473;0.029812;7.1e-05;49762;42202;756;49191.99;47789.0;49762;42202;756;460;False
474;0.028179;6.7e-05;49762;42202;756;49139.37;48049.0;49762;42202;756;460;False
475;0.02872;7.7e-05;49762;42202;756;49134.9;48184.0;49762;42202;756;460;False
476;0.029999;7e-05;49762;42202;756;49234.74;48437.0;49762;42202;756;460;False
477;0.028811;7e-05;49762;42202;756;49206.23;48385.0;49762;42202;756;460;False
478;0.02886;6.6e-05;49762;42202;756;49150.45;48154.0;49762;42202;756;460;False
479;0.027923;7.1e-05;49762;42202;756;49050.48;48260.0;49762;42202;756;460;False
480;0.031577;7.2e-05;49762;42202;756;49188.63;48311.0;49762;42202;756;460;False
481;0.029599;6.5e-05;49762;42202;756;49068.38;47922.0;49762;42202;756;460;False
482;0.027056;6.6e-05;49762;42202;756;48974.94;47772.0;49762;42202;756;460;False
483;0.027981;6.6e-05;49762;42202;756;49078.36;47843.0;49762;42202;756;460;False
484;0.02801;6.7e-05;49762;42202;756;49102.25;48010.0;49762;42202;756;460;False
485;0.026825;6.8e-05;49762;42202;756;49093.84;47849.0;49762;42202;756;460;False
486;0.029243;6.7e-05;49762;42202;756;49051.7;47731.0;49762;42202;756;460;False
487;0.031363;7.8e-05;49762;42202;756;48928.27;47764.0;49762;42202;756;460;False
488;0.028812;7e-05;49762;42202;756;48930.62;47366.0;49762;42202;756;460;False
489;0.028544;6.9e-05;49762;42202;756;49007.91;48069.0;49762;42202;756;460;False
490;0.028761;6.8e-05;49762;42202;756;48868.2;47751.0;49762;42202;756;460;False
491;0.026872;7.5e-05;49762;42202;756;48826.7;47819.0;49762;42202;756;460;False
492;0.028075;6.6e-05;49762;42202;756;48853.77;47447.0;49762;42202;756;460;False
493;0.028281;6.8e-05;49762;42202;756;48977.39;47991.0;49762;42202;756;460;False
494;0.027774;7.1e-05;49762;42202;756;49047.83;48065.0;49762;42202;756;460;False
495;0.027603;6.3e-05;49762;42202;756;49080.43;47655.0;49762;42202;756;460;False
496;0.026899;6.5e-05;49762;42202;756;49035.16;48088.0;49762;42202;756;460;False
497;0.026215;6.8e-05;49762;42202;756;48984.31;48080.0;49762;42202;756;460;False
498;0.027739;6.6e-05;49762;42202;756;48915.96;48025.0;49762;42202;756;460;False
499;0.027729;6.8e-05;49762;42202;756;48839.36;47891.0;49762;42202;756;460;False
500;0.026195;0.000659;49762;42202;756;48890.57;47777.0;49762;42202;756;460;False
501;0.027791;7e-05;49762;42202;756;48902.87;47758.0;49762;42202;756;460;False
502;0.027914;6.8e-05;49762;42202;756;48839.33;47745.0;49762;42202;756;460;False
503;0.027833;7.1e-05;49762;42202;756;48933.46;47923.0;49762;42202;756;460;False
504;0.079117;0.000126;49762;42202;756;48996.55;47613.0;49762;42202;756;460;False
505;0.036935;7e-05;49762;42202;756;48886.27;47993.0;49762;42202;756;460;False
506;0.02848;6.6e-05;49762;42202;756;48936.56;48115.0;49762;42202;756;460;False
507;0.027174;6.9e-05;49762;42202;756;48920.23;47558.0;49762;42202;756;460;False
508;0.02724;7.9e-05;49762;42202;756;48929.01;48059.0;49762;42202;756;460;False
509;0.034472;8.3e-05;49762;42202;756;49018.04;47821.0;49762;42202;756;460;False
510;0.039479;7.8e-05;49762;42202;756;48984.93;48154.0;49762;42202;756;460;False
511;0.042939;9.6e-05;49762;42202;756;48867.07;47549.0;49762;42202;756;460;False
512;0.037717;8.3e-05;49762;42202;756;48881.81;47898.0;49762;42202;756;460;False
513;0.031424;7.4e-05;49762;42202;756;48835.86;47739.0;49762;42202;756;460;False
514;0.029022;7.3e-05;49762;42202;756;48935.72;47992.0;49762;42202;756;460;False
515;0.031089;0.000111;49762;42202;756;48974.71;47753.0;49762;42202;756;460;False
516;0.031026;7.1e-05;49762;42202;756;49038.33;48006.0;49762;42202;756;460;False
517;0.02776;6.7e-05;49762;42202;756;49081.18;47995.0;49762;42202;756;460;False
518;0.028787;7.1e-05;49762;42202;756;48980.77;47862.0;49762;42202;756;460;False
519;0.031065;6.8e-05;49762;42202;756;49050.03;48148.0;49762;42202;756;460;False
520;0.027584;6.6e-05;49762;42202;756;49132.94;47845.0;49762;42202;756;460;False
521;0.027561;8e-05;49762;42202;756;49160.22;48213.0;49762;42202;756;460;False
522;0.026526;6.1e-05;49762;42202;756;49179.03;48154.0;49762;42202;756;460;False
523;0.027303;7.1e-05;49762;42202;756;49132.34;48244.0;49762;42202;756;460;False
524;0.029834;8.1e-05;49762;42202;756;49118.87;48344.0;49762;42202;756;460;False
525;0.027747;6.8e-05;49762;42202;756;49046.47;47939.0;49762;42202;756;460;False
526;0.031069;7.6e-05;49762;42202;756;48937.64;47685.0;49762;42202;756;460;False
527;0.030162;7.5e-05;49762;42202;756;48824.88;47956.0;49762;42202;756;460;False
528;0.03177;7.7e-05;49762;42202;756;48874.26;47937.0;49762;42202;756;460;False
529;0.030012;7.1e-05;49762;42202;756;49049.71;47891.0;49762;42202;756;460;False
530;0.030387;7.6e-05;49762;42202;756;49112.39;48320.0;49762;42202;756;460;False
531;0.030235;6.7e-05;49762;42202;756;48980.83;47529.0;49762;42202;756;460;False
532;0.027466;6.2e-05;49762;42202;756;48956.73;47763.0;49762;42202;756;460;False
533;0.026256;6.8e-05;49762;42202;756;49024.79;48011.0;49762;42202;756;460;False
534;0.027471;6.3e-05;49762;42202;756;48929.55;47941.0;49762;42202;756;460;False
535;0.025469;6.2e-05;49762;42202;756;48991.62;47923.0;49762;42202;756;460;False
536;0.024757;6.2e-05;49762;42202;756;49026.82;47959.0;49762;42202;756;460;False
537;0.025409;6.3e-05;49762;42202;756;48926.13;47826.0;49762;42202;756;460;False
538;0.025622;6.1e-05;49762;42202;756;49114.63;48101.0;49762;42202;756;460;False
539;0.025052;6.4e-05;49762;42202;756;49088.54;47060.0;49762;42202;756;460;False
540;0.024505;5.7e-05;49762;42202;756;48994.42;47862.0;49762;42202;756;460;False
541;0.024754;6.4e-05;49762;42202;756;48891.13;47876.0;49762;42202;756;460;False
542;0.025151;6e-05;49762;42202;756;49060.49;48145.0;49762;42202;756;460;False
543;0.025757;6.4e-05;49762;42202;756;48998.22;47982.0;49762;42202;756;460;False
544;0.025992;6e-05;49762;42202;756;49049.38;48130.0;49762;42202;756;460;False
545;0.03316;8.8e-05;49762;42202;756;49033.5;48218.0;49762;42202;756;460;False
546;0.047134;0.000109;49762;42202;756;49209.04;48154.0;49762;42202;756;460;False
547;0.100524;0.000137;49762;42202;756;49154.24;48100.0;49762;42202;756;460;False
548;0.059865;8.8e-05;49762;42202;756;49097.78;47290.0;49762;42202;756;460;False
549;0.043723;9.2e-05;49762;42202;756;49134.87;48080.0;49762;42202;756;460;False
550;0.031496;7e-05;49762;42202;756;49239.45;48189.0;49762;42202;756;460;False
551;0.02806;6.5e-05;49762;42202;756;49115.29;47453.0;49762;42202;756;460;False
552;0.027995;6.7e-05;49762;42202;756;49063.87;48113.0;49762;42202;756;460;False
553;0.026791;6.2e-05;49762;42202;756;49066.78;47960.0;49762;42202;756;460;False
554;0.026717;6.5e-05;49762;42202;756;49044.25;47807.0;49762;42202;756;460;False
555;0.029623;6.8e-05;49762;42202;756;49228.36;47591.0;49762;42202;756;460;False
556;0.028881;7e-05;49762;42202;756;49071.34;48066.0;49762;42202;756;460;False
557;0.026395;6.5e-05;49762;42202;756;49057.37;47838.0;49762;42202;756;460;False
558;0.025767;6.6e-05;49762;42202;756;49064.31;48312.0;49762;42202;756;460;False
559;0.025219;5.8e-05;49762;42202;756;49047.76;48208.0;49762;42202;756;460;False
560;0.026795;6.7e-05;49762;42202;756;49064.65;47680.0;49762;42202;756;460;False
561;0.030381;7.5e-05;49762;42202;756;48993.57;47952.0;49762;42202;756;460;False
562;0.033189;8.2e-05;49762;42202;756;48939.13;47814.0;49762;42202;756;460;False
563;0.029862;6.8e-05;49762;42202;756;48926.63;47791.0;49762;42202;756;460;False
564;0.027374;0.00012;49762;42202;756;48915.09;47591.0;49762;42202;756;460;False
565;0.025613;5.9e-05;49762;42202;756;48944.76;47778.0;49762;42202;756;460;False
566;0.026724;6.5e-05;49762;42202;756;48941.49;47762.0;49762;42202;756;460;False
567;0.027715;8e-05;49762;42202;756;48994.16;47578.0;49762;42202;756;460;False
568;0.025271;5.9e-05;49762;42202;756;49018.36;48072.0;49762;42202;756;460;False
569;0.024942;6.1e-05;49762;42202;756;48963.82;47917.0;49762;42202;756;460;False
570;0.028109;7e-05;49762;42202;756;48903.41;47960.0;49762;42202;756;460;False
571;0.037992;0.000102;49762;42202;756;49022.37;48085.0;49762;42202;756;460;False
572;0.043518;0.00016;49762;42202;756;49024.02;47852.0;49762;42202;756;460;False
573;0.056724;7.6e-05;49762;42202;756;48955.69;47981.0;49762;42202;756;460;False
574;0.039189;0.000115;49762;42202;756;48919.68;47898.0;49762;42202;756;460;False
575;0.037238;0.000118;49762;42202;756;48947.99;47493.0;49762;42202;756;460;False
576;0.035463;8.2e-05;49762;42202;756;48890.98;47857.0;49762;42202;756;460;False
577;0.028408;6.7e-05;49762;42202;756;48951.86;48069.0;49762;42202;756;460;False
578;0.032679;8.5e-05;49762;42202;756;48873.81;47693.0;49762;42202;756;460;False
579;0.039125;8.2e-05;49762;42202;756;48830.72;47372.0;49762;42202;756;460;False
580;0.031522;0.00011;49762;42202;756;48856.77;47780.0;49762;42202;756;460;False
581;0.037989;8.2e-05;49762;42202;756;48857.86;47702.0;49762;42202;756;460;False
582;0.029356;0.000115;49762;42202;756;48869.97;47770.0;49762;42202;756;460;False
583;0.026457;6.7e-05;49762;42202;756;48849.14;47855.0;49762;42202;756;460;False
584;0.029659;6.9e-05;49762;42202;756;48902.06;47564.0;49762;42202;756;460;False
585;0.028666;6.9e-05;49762;42202;756;49011.16;47595.0;49762;42202;756;460;False
586;0.028247;7e-05;49762;42202;756;49022.02;47849.0;49762;42202;756;460;False
587;0.028949;7e-05;49762;42202;756;49077.65;47622.0;49762;42202;756;460;False
588;0.029279;6.7e-05;49762;42202;756;49056.85;47866.0;49762;42202;756;460;False
589;0.02815;6.7e-05;49762;42202;756;49087.97;48187.0;49762;42202;756;460;False
590;0.02808;6.4e-05;49762;42202;756;49191.97;48329.0;49762;42202;756;460;False
591;0.033994;6.6e-05;49762;42202;756;49195.51;48147.0;49762;42202;756;460;False
592;0.02942;6.8e-05;49762;42202;756;49154.45;48075.0;49762;42202;756;460;False
593;0.027793;6.5e-05;49762;42202;756;49099.82;47963.0;49762;42202;756;460;False
594;0.027185;7e-05;49762;42202;756;49107.88;47786.0;49762;42202;756;460;False
595;0.028039;6.8e-05;49762;42202;756;49003.06;48143.0;49762;42202;756;460;False
596;0.028197;6.8e-05;49762;42202;756;48925.72;47485.0;49762;42202;756;460;False
597;0.027229;6.9e-05;49762;42202;756;48904.81;48090.0;49762;42202;756;460;False
598;0.028441;7e-05;49762;42202;756;48960.94;47852.0;49762;42202;756;460;False
599;0.029146;7e-05;49762;42202;756;48950.9;47703.0;49762;42202;756;460;False
600;0.028304;0.000913;49762;42202;756;48977.95;47686.0;49762;42202;756;460;False
601;0.028491;6.9e-05;49762;42202;756;48867.93;47790.0;49762;42202;756;460;False
602;0.028939;7e-05;49762;42202;756;48953.92;47216.0;49762;42202;756;460;False
603;0.029236;7.1e-05;49762;42202;756;48837.34;47682.0;49762;42202;756;460;False
604;0.036501;7.2e-05;49762;42202;756;48893.23;47747.0;49762;42202;756;460;False
605;0.031445;8.8e-05;49762;42202;756;48867.59;47661.0;49762;42202;756;460;False
606;0.033607;8e-05;49762;42202;756;48792.08;47600.0;49762;42202;756;460;False
607;0.033799;7.2e-05;49762;42202;756;48831.93;48023.0;49762;42202;756;460;False
608;0.027619;7e-05;49762;42202;756;48813.3;47995.0;49762;42202;756;460;False
609;0.027065;7.1e-05;49762;42202;756;48843.87;47820.0;49762;42202;756;460;False
610;0.028182;7.3e-05;49762;42202;756;49000.21;48197.0;49762;42202;756;460;False
611;0.029703;7.6e-05;49762;42202;756;48931.0;47722.0;49762;42202;756;460;False
612;0.029931;7.6e-05;49762;42202;756;49066.59;47567.0;49762;42202;756;460;False
613;0.031319;0.000164;49762;42202;756;49154.04;48204.0;49762;42202;756;460;False
614;0.031324;7.2e-05;49762;42202;756;49149.25;48150.0;49762;42202;756;460;False
615;0.028599;7.2e-05;49762;42202;756;48932.61;47847.0;49762;42202;756;460;False
616;0.029054;6.8e-05;49762;42202;756;48884.53;48039.0;49762;42202;756;460;False
617;0.028118;8e-05;49762;42202;756;48777.19;47897.0;49762;42202;756;460;False
618;0.027783;6.7e-05;49762;42202;756;48661.09;47145.0;49762;42202;756;460;False
619;0.02876;6.9e-05;49762;42202;756;48626.59;47538.0;49762;42202;756;460;False
620;0.028405;7.6e-05;49762;42202;756;48560.69;47497.0;49762;42202;756;460;False
621;0.028654;7.1e-05;49762;42202;756;48505.45;47576.0;49762;42202;756;460;False
622;0.028107;6.6e-05;49762;42202;756;48570.63;47359.0;49762;42202;756;460;False
623;0.02822;7.1e-05;49762;42202;756;48794.37;47870.0;49762;42202;756;460;False
624;0.031054;7.3e-05;49762;42202;756;48837.65;47979.0;49762;42202;756;460;False
625;0.039024;8.2e-05;49762;42202;756;48842.82;47825.0;49762;42202;756;460;False
626;0.037633;7.5e-05;49762;42202;756;48853.56;47657.0;49762;42202;756;460;False
627;0.042221;0.000109;49762;42202;756;48707.9;47926.0;49762;42202;756;460;False
628;0.040237;0.000125;49762;42202;756;48676.08;47630.0;49762;42202;756;460;False
629;0.035379;7.9e-05;49762;42202;756;48624.17;47466.0;49762;42202;756;460;False
630;0.033851;8e-05;49762;42202;756;48725.24;47718.0;49762;42202;756;460;False
631;0.029824;7.2e-05;49762;42202;756;48634.4;47655.0;49762;42202;756;460;False
632;0.027773;6.9e-05;49762;42202;756;48596.39;47475.0;49762;42202;756;460;False
