geracao;tempo_geracao_s;tempo_callback_s
254;0.027779;0.000109
255;0.028119;0.000115
256;0.028505;0.000113
257;0.027765;0.000117
258;0.028486;0.000108
259;0.028446;0.000106
260;0.027813;0.000109
261;0.02836;0.000118
262;0.028357;0.000111
263;0.027847;0.000101
264;0.027795;0.000104
265;0.027567;0.000168
266;0.027933;0.000104
267;0.027392;0.000115
268;0.027225;0.000102
269;0.028894;0.000104
270;0.027306;0.000113
271;0.027139;0.000101
272;0.025835;9.6e-05
273;0.025904;0.000104
274;0.027696;0.000118
275;0.029773;0.000108
276;0.027178;0.000101
277;0.025192;9e-05
278;0.025021;9.5e-05
279;0.024235;9.2e-05
280;0.024335;9.5e-05
281;0.024981;0.0001
282;0.028856;0.000121
283;0.028245;0.000105
284;0.025515;0.000103
285;0.025341;0.000103
286;0.027408;0.000114
287;0.026772;9.7e-05
288;0.025905;0.000107
289;0.024739;9.1e-05
290;0.024419;9.6e-05
291;0.024511;9.2e-05
292;0.024265;9.3e-05
293;0.024375;0.000136
294;0.024404;0.000105
295;0.024214;9.6e-05
296;0.02506;0.000104
297;0.025714;9.4e-05
298;0.0251;0.0001
299;0.024615;9.4e-05
300;0.024658;0.000673
301;0.025173;9.7e-05
302;0.026475;0.000102
303;0.026227;0.000103
304;0.027336;0.000104
305;0.026541;0.000117
306;0.026755;0.000143
307;0.026698;0.0001
308;0.026689;9.7e-05
309;0.025455;0.000106
310;0.025257;9.5e-05
311;0.024864;9.8e-05
312;0.025346;9.9e-05
313;0.025216;9.9e-05
314;0.026036;0.000111
315;0.025438;9.9e-05
316;0.025583;0.000111
317;0.025188;9.4e-05
318;0.024572;9.7e-05
319;0.024732;0.000139
320;0.024895;9.7e-05
321;0.027375;0.000105
322;0.025698;0.000105
323;0.026192;0.0001
324;0.025966;0.0001
325;0.026923;0.000131
326;0.025715;0.000105
327;0.026134;0.000105
328;0.026221;0.000101
329;0.026912;0.000114
330;0.027326;0.000196
331;0.029456;0.000114
332;0.028709;0.000114
333;0.040877;0.000112
334;0.032243;0.000141
335;0.046578;0.000191
336;0.041893;0.000242
337;0.03631;0.000133
338;0.030153;0.000128
339;0.031088;0.000242
340;0.029016;0.000116
341;0.031443;0.000141
342;0.03704;0.000155
343;0.037993;0.000157
344;0.032866;0.000117
345;0.030871;0.000214
346;0.029143;0.000114
347;0.030515;0.000119
348;0.034479;0.000111
349;0.035077;0.000112
350;0.030137;0.000137
351;0.036682;0.000139
352;0.037514;0.000136
353;0.034471;0.000126
354;0.03728;0.00012
355;0.028065;0.000129
356;0.027153;0.00011
357;0.028694;0.000125
358;0.029279;0.000113
359;0.02909;0.000117
360;0.027375;0.000108
361;0.028095;0.000109
362;0.02606;0.000125
363;0.025576;0.000107
364;0.034664;0.000205
365;0.029942;0.000128
366;0.028039;0.000128
367;0.032936;0.000203
368;0.028924;0.000174
369;0.030052;0.000116
370;0.029315;0.000121
371;0.029489;0.000199
372;0.030529;0.000127
373;0.027678;0.000112
374;0.028809;0.00013
375;0.029509;0.000113
376;0.029511;0.00022
377;0.028992;0.000109
378;0.027977;0.000117
379;0.031567;0.000118
380;0.027246;0.000134
381;0.027248;0.00013
382;0.031772;0.00012
383;0.028866;0.000128
384;0.026551;0.000109
385;0.02694;0.000117
386;0.026328;0.000129
387;0.026232;0.00011
388;0.028997;0.000121
389;0.026719;0.000246
390;0.029634;0.000125
391;0.02653;0.000131
392;0.025672;0.000121
393;0.027161;0.000113
394;0.026315;0.000105
395;0.024773;0.0001
396;0.025139;0.000111
397;0.024397;0.000101
398;0.024355;0.0001
399;0.024435;0.000106
400;0.024954;0.000709
401;0.025202;0.000106
402;0.025412;0.000116
403;0.025959;0.000124
404;0.026409;0.000133
405;0.028036;0.000134
406;0.027328;0.000131
407;0.026685;0.000118
408;0.028384;0.000192
409;0.028336;0.000114
410;0.028641;0.000111
411;0.026641;0.000106
412;0.025851;0.000103
413;0.026599;0.000112
414;0.025454;0.00011
415;0.025689;0.000106
416;0.027118;0.000104
417;0.02577;0.000104
418;0.027424;0.000108
419;0.025743;6.7e-05
420;0.027314;6.6e-05
421;0.028497;0.000132
422;0.026417;0.000104
423;0.028583;0.000104
424;0.02589;9.7e-05
425;0.026509;0.000112
426;0.026334;0.000105
427;0.027582;0.000103
428;0.026808;0.000102
429;0.026235;0.000174
430;0.026189;0.000208
431;0.030244;0.000103
432;0.025615;9.9e-05
433;0.026491;0.000149
434;0.02687;0.000104
435;0.025886;9.9e-05
436;0.025478;0.000108
437;0.026034;0.000102
438;0.02646;0.000102
439;0.025569;0.000107
440;0.02699;0.000104
441;0.026916;0.000107
442;0.026349;0.000109
443;0.025775;0.000105
444;0.02629;0.00011
445;0.026159;0.00011
446;0.025802;0.000126
447;0.025822;0.000104
448;0.027201;0.00011
449;0.028833;0.000109
450;0.026811;0.0001
451;0.033482;0.000129
452;0.028304;0.00011
453;0.028206;0.000118
454;0.029319;0.000175
455;0.033392;0.000135
456;0.036825;0.000151
457;0.03646;0.00012
458;0.029631;0.000147
459;0.04062;0.000117
460;0.032833;7.6e-05
461;0.034052;0.000111
462;0.030474;6.9e-05
463;0.030253;0.000118
464;0.035474;7.1e-05
465;0.038458;7.1e-05
466;0.033241;6.9e-05
467;0.030698;7e-05
468;0.030083;7e-05
469;0.027647;6.8e-05
470;0.028715;6.9e-05
471;0.028812;6.8e-05
472;0.029479;0.000112
473;0.029812;7.1e-05
474;0.028179;6.7e-05
475;0.02872;7.7e-05
476;0.029999;7e-05
477;0.028811;7e-05
478;0.02886;6.6e-05
479;0.027923;7.1e-05
480;0.031577;7.2e-05
481;0.029599;6.5e-05
482;0.027056;6.6e-05
483;0.027981;6.6e-05
484;0.02801;6.7e-05
485;0.026825;6.8e-05
486;0.029243;6.7e-05
487;0.031363;7.8e-05
488;0.028812;7e-05
489;0.028544;6.9e-05
490;0.028761;6.8e-05
491;0.026872;7.5e-05
492;0.028075;6.6e-05
493;0.028281;6.8e-05
494;0.027774;7.1e-05
495;0.027603;6.3e-05
496;0.026899;6.5e-05
497;0.026215;6.8e-05
498;0.027739;6.6e-05
499;0.027729;6.8e-05
500;0.026195;0.000659
501;0.027791;7e-05
