bloco_inicio;bloco_fim;geracao_representativa;melhor_valor_no_bloco;geracao_do_melhor_valor_no_bloco;peso_do_melhor_valor_no_bloco;itens_do_melhor_valor_no_bloco;melhor_global_ao_final_do_bloco;peso_melhor_global_ao_final_do_bloco;itens_melhor_global_ao_final_do_bloco;media_valor_melhor_geracao_no_bloco;media_fitness_populacao_no_bloco;media_itens_melhor_geracao_no_bloco;media_peso_melhor_geracao_no_bloco;tempo_total_bloco_s;tempo_medio_geracao_bloco_s;quantidade_melhorias_globais_no_bloco
1;1000;1000;153356;862;50871;2252;153356;50871;2252;152141.367;150187.837;2231.891;50861.327;326.708117;0.326708;74
1001;2000;2000;154700;1861;50846;2261;154700;50846;2261;153977.222;151785.2627;2254.246;50853.459;381.031931;0.381032;10
2001;3000;3000;155005;2098;50869;2264;155005;50869;2264;154984.273;152613.6373;2264.173;50868.118;374.102154;0.374102;3
3001;4000;4000;155045;3486;50889;2273;155045;50889;2273;155026.665;152647.6419;2270.339;50874.188;407.652582;0.407653;2
4001;5000;5000;155086;4373;50842;2274;155086;50842;2274;155070.748;152712.0215;2273.628;50859.484;399.730556;0.399731;1
5001;6000;6000;155086;5001;50842;2274;155086;50842;2274;155086.0;152735.2941;2274.0;50842.0;411.993987;0.411994;0
6001;7000;7000;155256;6693;50885;2274;155256;50885;2274;155214.755;152830.6173;2274.891;50862.845;432.130803;0.432131;3
7001;8000;8000;155657;7820;50848;2279;155657;50848;2279;155602.678;153164.0479;2277.037;50867.663;418.262992;0.418263;3
8001;9000;9000;155658;8281;50867;2277;155658;50867;2277;155657.72;153218.6557;2277.56;50861.68;422.937703;0.422938;1
9001;10000;10000;155678;9669;50871;2279;155678;50871;2279;155664.64;153207.1834;2277.664;50868.328;409.566047;0.409566;1
