geracao;tempo_geracao_s;tempo_acumulado_s;valor_acumulado_melhor_geracao;peso_acumulado_melhor_geracao;quantidade_itens_melhor_geracao;fitness_medio_populacao;fitness_pior_populacao;melhor_valor_global_ate_agora;peso_melhor_global_ate_agora;quantidade_itens_melhor_global_ate_agora;geracao_melhor_global;houve_melhoria_global
1;0.292125;0.292125;134305;50885;2005;131481.13;128209.0;134305;50885;2005;1;True
1000;0.373089;326.708119;153356;50871;2252;151409.5;150322.0;153356;50871;2252;862;False
2000;0.357018;707.740047;154700;50846;2261;152345.92;151084.0;154700;50846;2261;1861;False
3000;0.35269;1081.842188;155005;50869;2264;152649.92;151485.0;155005;50869;2264;2098;False
4000;0.39255;1489.494777;155045;50889;2273;152274.2;151024.0;155045;50889;2273;3486;False
5000;0.440095;1889.225331;155086;50842;2274;152810.73;150996.0;155086;50842;2274;4373;False
6000;0.354991;2301.219327;155086;50842;2274;152650.72;151396.0;155086;50842;2274;4373;False
7000;0.387782;2733.350123;155256;50885;2274;152783.74;151631.0;155256;50885;2274;6693;False
8000;0.459276;3151.613121;155657;50848;2279;153302.03;151674.0;155657;50848;2279;7820;False
9000;0.373933;3574.550829;155658;50867;2277;153300.43;151286.0;155658;50867;2277;8281;False
10000;0.372327;3984.11688;155678;50871;2279;153194.05;151982.0;155678;50871;2279;9669;False
