avaliacao,SA Original,SA Variação 1,SA Variação 2
163,36718.0,36700.1,38704.4
164,36743.9,36726.0,38717.9
165,36747.2,36729.3,38773.5
166,36802.4,36778.5,38800.1
167,36854.0,36829.2,38821.6
168,36867.0,36842.2,38840.4
169,36922.8,36898.0,38908.2
170,36931.7,36906.9,38948.3
171,36955.4,36930.6,39008.8
172,36971.8,36947.0,39048.9
173,36987.1,36962.3,39063.7
174,37003.6,36978.8,39110.3
175,37037.0,36999.8,39122.9
176,37073.3,37035.9,39131.7
177,37076.7,37039.3,39131.7
178,37127.3,37089.9,39156.5
179,37151.6,37114.2,39171.1
180,37159.8,37122.4,39200.8
181,37163.8,37126.4,39245.9
182,37201.4,37159.4,39258.7
183,37219.0,37177.0,39292.3
184,37219.0,37177.0,39324.0
185,37232.6,37190.6,39382.0
186,37234.1,37192.1,39416.6
187,37238.3,37196.3,39422.7
188,37257.5,37215.5,39424.8
189,37259.5,37217.5,39499.7
190,37289.6,37247.6,39511.5
191,37329.7,37287.7,39529.8
192,37344.8,37302.8,39529.8
193,37392.0,37340.8,39536.4
194,37431.2,37380.0,39547.4
195,37453.3,37402.1,39564.4
196,37482.8,37416.6,39602.0
197,37507.8,37430.5,39644.3
198,37551.2,37462.9,39664.0
199,37576.4,37488.1,39721.2
200,37598.6,37510.3,39747.1
201,37616.4,37528.1,39757.4
202,37639.9,37551.6,39795.6
203,37673.2,37584.9,39814.2
204,37709.6,37617.7,39837.9
205,37739.2,37647.3,39847.9
206,37769.1,37677.2,39852.6
207,37801.9,37710.0,39873.4
208,37801.9,37710.0,39937.3
209,37822.2,37730.3,39969.5
210,37824.8,37732.9,40016.4
211,37853.1,37767.0,40059.0
212,37875.3,37780.4,40074.6
213,37896.4,37797.2,40074.6
214,37897.8,37798.6,40104.2
215,37921.0,37823.5,40115.8
216,37960.7,37861.5,40127.5
217,37992.5,37887.4,40136.3
218,38038.7,37941.1,40158.9
219,38103.1,37998.0,40190.4
220,38121.1,38017.6,40197.7
221,38139.5,38036.0,40266.0
222,38139.5,38036.0,40276.1
223,38166.2,38062.7,40284.7
224,38183.5,38080.0,40296.8
225,38199.1,38095.6,40304.8
226,38200.1,38096.6,40361.6
227,38205.4,38101.9,40397.2
228,38217.5,38114.0,40405.7
229,38254.7,38153.0,40424.3
230,38254.8,38158.6,40428.9
231,38266.3,38170.1,40478.6
232,38274.1,38177.9,40559.1
233,38293.7,38197.5,40576.2
