avaliacao,sa1,sa2,sa3,sa4,sa5,sa6,sa7,sa8,sa9,sa10
98,35693,36161,36028,34620,34642,34849,34417,35347,34383,35585
99,35693,36161,36028,34620,34680,34849,34417,35347,34383,35705
100,35693,36293,36028,34620,34680,34849,34417,35347,34383,35855
101,35693,36293,36028,34620,34680,34849,34417,35347,34383,35855
102,35693,36293,36201,34620,34680,34926,34417,35487,34383,35855
103,35693,36293,36201,34620,34680,34926,34501,35487,34383,35855
104,35698,36293,36201,34620,34680,35083,34501,35487,34383,35855
105,35859,36318,36201,34620,34680,35180,34501,35487,34383,35855
106,36030,36375,36201,34669,34680,35180,34501,35487,34383,35929
107,36030,36375,36201,34717,34680,35280,34534,35487,34383,35929
108,36030,36563,36274,34822,34680,35361,34555,35487,34392,35929
109,36173,36563,36274,35002,34680,35377,34576,35509,34392,35929
110,36191,36563,36274,35002,34680,35377,34576,35509,34392,35929
111,36191,36615,36274,35002,34680,35391,34576,35509,34392,36068
112,36275,36615,36274,35002,34680,35504,34621,35509,34433,36068
113,36298,36625,36274,35002,34680,35663,34702,35509,34454,36068
114,36430,36625,36274,35002,34680,35663,34702,35509,34520,36068
115,36546,36822,36274,35173,34680,35663,34702,35509,34585,36172
116,36567,36822,36274,35196,34680,35762,34702,35509,34585,36172
117,36741,36822,36274,35338,34680,35762,34702,35509,34585,36216
118,36741,36822,36274,35338,34680,35762,34702,35509,34585,36216
119,36741,36822,36274,35338,34846,35762,34702,35509,34609,36216
120,36751,36890,36274,35338,34846,35762,34703,35509,34687,36216
121,36751,36890,36274,35338,34846,35762,34852,35509,34687,36216
122,36794,36890,36274,35338,34846,35777,34852,35509,34875,36216
123,36794,37032,36274,35338,34846,35777,34874,35509,34875,36216
124,36928,37032,36274,35338,34846,35777,34874,35534,34906,36216
125,36928,37032,36274,35338,34846,35786,34874,35534,34963,36216
126,36928,37032,36274,35338,34846,35786,34894,35534,35007,36216
127,36928,37032,36274,35366,34846,35786,35020,35585,35007,36216
128,36928,37032,36274,35366,34846,35786,35020,35749,35211,36216
129,36928,37047,36274,35473,34846,35786,35138,35749,35211,36311
130,36928,37047,36274,35473,34885,35786,35317,35749,35211,36315
131,36980,37047,36274,35473,34886,35786,35317,35810,35211,36315
132,37155,37047,36274,35473,35004,35786,35330,35956,35253,36450
133,37155,37188,36320,35473,35133,35786,35333,35956,35253,36450
134,37165,37309,36350,35473,35285,35786,35333,35956,35322,36450
135,37225,37309,36419,35588,35355,35786,35506,35956,35322,36450
136,37275,37309,36419,35620,35355,35786,35581,35956,35443,36450
137,37275,37334,36510,35620,35355,35786,35581,35956,35598,36450
138,37275,37334,36510,35724,35355,35786,35581,35956,35598,36450
139,37275,37364,36680,35724,35411,35786,35763,36042,35708,36450
140,37275,37371,36729,35724,35411,35786,35763,36124,35708,36450
141,37275,37540,36729,35724,35411,35786,35763,36161,35708,36450
142,37275,37587,36729,35724,35411,35786,35763,36282,35708,36450
143,37275,37587,36729,35724,35411,35786,35763,36282,35708,36450
144,37275,37620,36729,35724,35411,35786,35763,36282,35708,36450
145,37275,37620,36729,35739,35411,35811,35846,36343,35708,36462
146,37275,37620,36729,35748,35411,35811,35846,36343,35708,36462
147,37275,37620,36729,35764,35411,35925,36040,36423,35708,36469
148,37275,37620,36729,35771,35411,35977,36058,36472,35708,36545
149,37275,37620,36729,35771,35411,36094,36058,36472,35708,36546
150,37341,37620,36729,35771,35411,36216,36058,36472,35727,36620
151,37341,37623,36729,35771,35411,36237,36058,36472,35727,36620
152,37469,37623,36729,35771,35411,36252,36167,36472,35727,36620
153,37538,37623,36729,35814,35411,36396,36212,36472,35727,36620
154,37538,37629,36729,35928,35411,36592,36212,36472,35727,36620
155,37538,37629,36729,36068,35411,36592,36212,36472,35783,36620
156,37538,37702,36729,36166,35429,36592,36212,36472,35783,36620
157,37721,37773,36729,36215,35429,36782,36212,36546,35797,36620
158,37721,37835,36729,36215,35566,36782,36212,36615,35797,36620
159,37729,37835,36729,36215,35582,36860,36212,36615,35804,36620
160,37729,37835,36729,36215,35582,36863,36212,36615,35842,36620
161,37850,37910,36730,36215,35582,36863,36212,36637,35973,36620
162,37850,38102,36730,36215,35582,36863,36212,36637,36131,36620
163,37878,38102,36757,36215,35582,36863,36212,36637,36135,36620
164,37976,38102,36757,36215,35599,36863,36212,36769,36147,36620
165,37976,38135,36757,36215,35599,36863,36212,36769,36147,36620
166,38149,38175,36757,36215,35696,36916,36212,36797,36248,36620
167,38149,38371,36866,36215,35696,37086,36212,36829,36248,36620
168,38254,38371,36869,36215,35696,37108,36212,36829,36248,36620
169,38336,38484,36870,36215,35696,37308,36212,36978,36261,36620
170,38346,38497,36870,36215,35720,37308,36212,37020,36261,36620
171,38346,38539,36870,36215,35720,37316,36212,37042,36426,36620
172,38428,38576,36870,36215,35720,37317,36212,37080,36432,36620
173,38453,38690,36884,36215,35720,37317,36212,37080,36432,36620
174,38453,38690,36997,36215,35720,37317,36212,37132,36432,36620
175,38453,38705,37152,36215,35720,37317,36212,37172,36432,36620
176,38469,38758,37274,36343,35720,37317,36212,37182,36464,36620
177,38469,38758,37274,36343,35720,37317,36246,37182,36464,36620
178,38469,38758,37274,36503,35853,37317,36327,37314,36464,36620
179,38469,38758,37307,36503,35905,37317,36457,37342,36464,36620
180,38480,38758,37307,36503,35925,37317,36508,37342,36464,36620
181,38480,38758,37307,36503,35965,37317,36508,37342,36464,36620
182,38480,38785,37307,36503,36028,37406,36592,37342,36531,36620
183,38480,38790,37307,36503,36028,37406,36611,37342,36683,36620
184,38480,38790,37307,36503,36028,37406,36611,37342,36683,36620
185,38497,38790,37307,36503,36028,37406,36611,37342,36802,36620
186,38497,38805,37307,36503,36028,37406,36611,37342,36802,36620
187,38497,38805,37307,36527,36028,37406,36629,37342,36802,36620
188,38497,38805,37307,36527,36028,37406,36723,37342,36900,36620
189,38497,38805,37307,36527,36028,37406,36723,37362,36900,36620
190,38497,38805,37320,36527,36033,37406,36723,37468,37077,36620
191,38497,38805,37330,36527,36033,37406,36741,37532,37279,36727
192,38497,38805,37330,36544,36037,37406,36741,37572,37279,36817
193,38497,38805,37462,36586,36108,37406,36741,37707,37279,36817
194,38497,38805,37462,36718,36161,37406,36741,37707,37442,36861
195,38497,38805,37462,36896,36161,37406,36741,37707,37442,36904
196,38632,38805,37462,36896,36161,37406,36741,37717,37442,36904
197,38632,38838,37474,36896,36161,37406,36741,37798,37455,36904
198,38632,38838,37474,36896,36161,37406,36778,37945,37455,37044
199,38632,38838,37474,37085,36224,37406,36778,37945,37455,37044
200,38632,38838,37475,37085,36240,37406,36778,38011,37455,37183
201,38632,38838,37565,37085,36275,37406,36793,38011,37481,37195
202,38692,38953,37565,37085,36275,37406,36793,38071,37481,37195
203,38692,38953,37619,37085,36275,37429,36898,38222,37481,37195
204,38692,38968,37694,37191,36275,37454,36984,38222,37502,37195
205,38701,38993,37694,37202,36275,37640,36984,38287,37502,37195
206,38701,39087,37694,37202,36275,37640,36984,38303,37691,37195
207,38701,39087,37694,37403,36275,37640,37085,38303,37717,37195
208,38701,39087,37694,37403,36275,37640,37085,38303,37717,37195
209,38701,39087,37771,37529,36275,37640,37085,38303,37717,37195
210,38727,39087,37771,37529,36275,37640,37085,38303,37717,37195
211,38735,39087,37771,37609,36275,37640,37272,38303,37783,37195
212,38735,39087,37869,37645,36275,37640,37272,38303,37783,37195
213,38735,39087,37869,37672,36275,37640,37272,38303,37783,37336
