step,best_fitness_media,best_fitness_execucao_1,best_fitness_execucao_2,best_fitness_execucao_3,best_fitness_execucao_4,best_fitness_execucao_5,best_fitness_execucao_6,best_fitness_execucao_7,best_fitness_execucao_8,best_fitness_execucao_9,best_fitness_execucao_10
54,50688.9,50674.0,50692.0,50694.0,50692.0,50694.0,50693.0,50691.0,50691.0,50692.0,50676.0
55,50690.6,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50691.0,50692.0,50676.0
56,50690.6,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50691.0,50692.0,50676.0
57,50692.3,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50691.0,50692.0,50693.0
58,50692.3,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50691.0,50692.0,50693.0
59,50692.3,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50691.0,50692.0,50693.0
60,50692.3,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50691.0,50692.0,50693.0
61,50692.3,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50691.0,50692.0,50693.0
62,50692.3,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50691.0,50692.0,50693.0
63,50692.3,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50691.0,50692.0,50693.0
64,50692.3,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50691.0,50692.0,50693.0
65,50692.3,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50691.0,50692.0,50693.0
66,50692.3,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50691.0,50692.0,50693.0
67,50692.3,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50691.0,50692.0,50693.0
68,50692.3,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50691.0,50692.0,50693.0
69,50692.3,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50691.0,50692.0,50693.0
70,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
71,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
72,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
73,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
74,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
75,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
76,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
77,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
78,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
79,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
80,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
81,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
82,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
83,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
84,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
85,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
86,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
87,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
88,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
89,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
90,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
91,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
92,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
93,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
94,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
95,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
96,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
97,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
98,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
