step,best_fitness_media,best_fitness_execucao_1,best_fitness_execucao_2,best_fitness_execucao_3,best_fitness_execucao_4,best_fitness_execucao_5,best_fitness_execucao_6,best_fitness_execucao_7,best_fitness_execucao_8,best_fitness_execucao_9,best_fitness_execucao_10
1,50633.2,50617.0,50629.0,50641.0,50617.0,50648.0,50635.0,50618.0,50667.0,50629.0,50631.0
2,50640.6,50663.0,50629.0,50641.0,50617.0,50648.0,50635.0,50646.0,50667.0,50629.0,50631.0
3,50649.9,50663.0,50639.0,50658.0,50617.0,50648.0,50635.0,50677.0,50667.0,50650.0,50645.0
4,50661.0,50669.0,50675.0,50679.0,50636.0,50656.0,50635.0,50677.0,50669.0,50669.0,50645.0
5,50661.1,50669.0,50676.0,50679.0,50636.0,50656.0,50635.0,50677.0,50669.0,50669.0,50645.0
6,50667.7,50669.0,50692.0,50679.0,50649.0,50677.0,50635.0,50677.0,50669.0,50685.0,50645.0
7,50670.6,50669.0,50692.0,50679.0,50669.0,50677.0,50635.0,50677.0,50669.0,50685.0,50654.0
8,50677.1,50669.0,50692.0,50679.0,50690.0,50677.0,50660.0,50677.0,50688.0,50685.0,50654.0
9,50682.0,50685.0,50692.0,50679.0,50690.0,50677.0,50693.0,50677.0,50688.0,50685.0,50654.0
10,50685.1,50685.0,50692.0,50679.0,50690.0,50677.0,50693.0,50677.0,50688.0,50685.0,50685.0
11,50686.6,50685.0,50692.0,50679.0,50690.0,50692.0,50693.0,50677.0,50688.0,50685.0,50685.0
12,50687.4,50685.0,50693.0,50679.0,50690.0,50694.0,50693.0,50677.0,50688.0,50690.0,50685.0
13,50687.4,50685.0,50693.0,50679.0,50690.0,50694.0,50693.0,50677.0,50688.0,50690.0,50685.0
14,50687.5,50685.0,50693.0,50679.0,50690.0,50694.0,50694.0,50677.0,50688.0,50690.0,50685.0
15,50687.5,50685.0,50693.0,50679.0,50690.0,50694.0,50694.0,50677.0,50688.0,50690.0,50685.0
16,50687.5,50685.0,50693.0,50679.0,50690.0,50694.0,50694.0,50677.0,50688.0,50690.0,50685.0
17,50689.0,50685.0,50693.0,50679.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50685.0
18,50689.0,50685.0,50693.0,50679.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50685.0
19,50689.0,50685.0,50693.0,50679.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50685.0
20,50689.0,50685.0,50693.0,50679.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50685.0
21,50689.0,50685.0,50693.0,50679.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50685.0
22,50689.0,50685.0,50693.0,50679.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50685.0
23,50689.0,50685.0,50693.0,50679.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50685.0
24,50689.0,50685.0,50693.0,50679.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50685.0
25,50689.9,50685.0,50693.0,50679.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
26,50689.9,50685.0,50693.0,50679.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
27,50690.4,50690.0,50693.0,50679.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
28,50690.4,50690.0,50693.0,50679.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
29,50690.4,50690.0,50693.0,50679.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
30,50690.4,50690.0,50693.0,50679.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
31,50690.4,50690.0,50693.0,50679.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
32,50690.4,50690.0,50693.0,50679.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
33,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
34,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
35,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
36,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
37,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
38,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
39,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
40,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
41,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
42,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
43,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
44,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
45,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
46,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
47,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
48,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
49,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
50,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
51,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
52,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
53,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
54,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
55,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
56,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
57,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
58,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
59,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
60,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
61,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
62,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
63,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
64,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
65,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
66,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
67,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
68,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
69,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
70,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
71,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
72,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
73,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
74,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
75,50690.9,50690.0,50693.0,50684.0,50690.0,50694.0,50694.0,50692.0,50688.0,50690.0,50694.0
