step,best_fitness_media,best_fitness_execucao_1,best_fitness_execucao_2,best_fitness_execucao_3,best_fitness_execucao_4,best_fitness_execucao_5,best_fitness_execucao_6,best_fitness_execucao_7,best_fitness_execucao_8,best_fitness_execucao_9,best_fitness_execucao_10
1,50631.2,50617.0,50629.0,50641.0,50617.0,50648.0,50635.0,50618.0,50647.0,50629.0,50631.0
2,50650.3,50661.0,50632.0,50677.0,50617.0,50685.0,50635.0,50657.0,50661.0,50647.0,50631.0
3,50664.1,50661.0,50662.0,50694.0,50641.0,50685.0,50635.0,50671.0,50676.0,50653.0,50663.0
4,50667.9,50661.0,50669.0,50694.0,50641.0,50685.0,50660.0,50671.0,50676.0,50659.0,50663.0
5,50672.4,50661.0,50685.0,50694.0,50649.0,50685.0,50662.0,50671.0,50676.0,50678.0,50663.0
6,50678.1,50661.0,50685.0,50694.0,50694.0,50685.0,50662.0,50671.0,50688.0,50678.0,50663.0
7,50680.0,50661.0,50685.0,50694.0,50694.0,50685.0,50671.0,50681.0,50688.0,50678.0,50663.0
8,50681.5,50661.0,50685.0,50694.0,50694.0,50685.0,50671.0,50681.0,50688.0,50693.0,50663.0
9,50681.6,50661.0,50685.0,50694.0,50694.0,50685.0,50671.0,50681.0,50688.0,50694.0,50663.0
10,50683.4,50661.0,50685.0,50694.0,50694.0,50685.0,50681.0,50689.0,50688.0,50694.0,50663.0
11,50687.3,50693.0,50685.0,50694.0,50694.0,50685.0,50688.0,50689.0,50688.0,50694.0,50663.0
12,50687.3,50693.0,50685.0,50694.0,50694.0,50685.0,50688.0,50689.0,50688.0,50694.0,50663.0
13,50687.7,50693.0,50685.0,50694.0,50694.0,50685.0,50688.0,50689.0,50692.0,50694.0,50663.0
14,50688.2,50693.0,50685.0,50694.0,50694.0,50685.0,50693.0,50689.0,50692.0,50694.0,50663.0
15,50688.2,50693.0,50685.0,50694.0,50694.0,50685.0,50693.0,50689.0,50692.0,50694.0,50663.0
16,50688.2,50693.0,50685.0,50694.0,50694.0,50685.0,50693.0,50689.0,50692.0,50694.0,50663.0
